Time (CET),Day-ahead Total Load Forecast [MW] - Austria (AT),Actual Total Load [MW] - Austria (AT)
05.01.2018 11:45 - 05.01.2018 12:00,9349,8771
05.01.2018 12:00 - 05.01.2018 12:15,9294,8797
05.01.2018 12:15 - 05.01.2018 12:30,9191,8636
05.01.2018 12:30 - 05.01.2018 12:45,9105,8578
05.01.2018 12:45 - 05.01.2018 13:00,9048,8545
05.01.2018 13:00 - 05.01.2018 13:15,9055,8541
05.01.2018 13:15 - 05.01.2018 13:30,9036,8495
05.01.2018 13:30 - 05.01.2018 13:45,8997,8522
05.01.2018 13:45 - 05.01.2018 14:00,8948,8492
05.01.2018 14:00 - 05.01.2018 14:15,8919,8545
05.01.2018 14:15 - 05.01.2018 14:30,8906,8512
05.01.2018 14:30 - 05.01.2018 14:45,8892,8496
05.01.2018 14:45 - 05.01.2018 15:00,8886,8463
05.01.2018 15:00 - 05.01.2018 15:15,8897,8479
05.01.2018 15:15 - 05.01.2018 15:30,8914,8438
05.01.2018 15:30 - 05.01.2018 15:45,8954,8471
05.01.2018 15:45 - 05.01.2018 16:00,9003,8557
05.01.2018 16:00 - 05.01.2018 16:15,9093,8589
05.01.2018 16:15 - 05.01.2018 16:30,9214,8708
05.01.2018 16:30 - 05.01.2018 16:45,9354,8844
05.01.2018 16:45 - 05.01.2018 17:00,9470,9016
05.01.2018 17:00 - 05.01.2018 17:15,9525,9067
05.01.2018 17:15 - 05.01.2018 17:30,9558,9114
05.01.2018 17:30 - 05.01.2018 17:45,9570,9101
05.01.2018 17:45 - 05.01.2018 18:00,9556,9099
05.01.2018 18:00 - 05.01.2018 18:15,9493,9013
