Timestep,Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Great Britain,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Macedonia,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine
8341,182.1799422,255.9698465,33.49255191,462.8240361,851.5483682,254.6096654,636.1704645,208.980375,135.7779676,19.26820662,143.2561539,2670.535869,1321.986626,1456.161834,1992.97705,628.308858,889.7166379,2265.181618,56.61545797,26.71645482,4.159181294,260.6325506,59.40769548,257.5728748,593.9198076,341.0254948,1615.477889,1349.708809,632.0466667,256.6120729,88.2365904,18191.09152,327.9413785,213.371072,3352.38772
8342,150.4255347,215.6240338,27.32524012,363.6513439,770.5596746,232.7544714,547.9774854,153.8453568,118.149961,15.32686057,76.48954758,2282.101511,1217.086309,1130.209425,1870.267954,503.2316873,841.5906022,2005.586969,42.34644433,22.18310833,4.669223325,212.2341694,48.33064623,186.7566867,453.5861249,336.0016942,1332.200771,1237.071693,513.118686,205.2041052,76.2288337,16440.04544,169.4780474,180.2057254,2592.600829
8343,97.60460189,139.295933,14.36734444,202.7775991,581.8508498,157.1087032,391.5831379,105.0456682,70.91801707,6.431867092,12.29095129,1466.64868,826.4817046,656.4771525,1516.070146,299.1300882,613.4732061,1512.532369,23.4204511,13.38007414,3.6857418,134.5648169,30.0917997,79.44756629,160.6789319,191.9630824,956.3480334,932.4615059,318.806491,110.3984136,46.55864712,12270.70551,39.26572504,128.0271818,1435.041152
8344,34.08106131,51.04188063,2.205029028,67.39740756,323.3569215,59.03678585,196.0282227,31.55616741,13.32568948,0.2719387,0.079547639,476.0906265,299.1764357,160.8925674,978.4962801,75.64377757,259.990879,804.1862023,4.578927453,2.963832265,1.753153308,42.70076836,9.280219143,4.378065493,6.447102412,28.15428828,501.4599393,500.9762286,91.25206993,22.26166997,17.16628898,6415.027206,2.424131736,62.79058233,346.6822738
8345,0.58239103,1.559321823,0,1.603862184,64.39993043,1.818851657,25.68439645,0.015976222,0,0,0,9.847111634,10.46848441,0.485109079,343.3838044,0.086374666,10.27033926,157.0136553,0,4.73E-05,0.258928257,0.118656685,0.163209346,0,0,0,153.7837435,81.28475814,0.085402364,0.000151875,0.765841653,1288.643081,0,9.234126884,4.557947032
8346,0,0,0,0,0.000117803,0,0,0,0,0,0,0,0,0,5.067250379,0,0,0.065734902,0,0,0,0,0,0,0,0,3.257580661,0,0,0,0,10.90228956,0,0,0
8347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012783253,0,0,0
8348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
