Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
BZN|GB,14.04.2018 06:00 - 14.04.2018 06:30 (CET),1442,0,0,14375,244,0,0,0,0,0,87,0,0,6794,131,0,0,0,321,717
BZN|GB,14.04.2018 06:30 - 14.04.2018 07:00 (CET),1443,0,0,14743,242,0,0,0,0,0,111,0,0,6805,130,0,0,0,297,711
BZN|GB,14.04.2018 07:00 - 14.04.2018 07:30 (CET),1441,0,0,14945,242,0,0,0,0,0,104,0,0,6720,130,0,3,0,278,733
BZN|GB,14.04.2018 07:30 - 14.04.2018 08:00 (CET),1430,0,0,15223,243,0,0,0,0,0,106,0,0,6565,129,0,75,0,304,779
BZN|GB,14.04.2018 08:00 - 14.04.2018 08:30 (CET),1432,0,0,16023,250,0,0,0,0,123,113,0,0,6554,129,0,342,0,18,486
BZN|GB,14.04.2018 08:30 - 14.04.2018 09:00 (CET),1439,0,0,16084,849,0,0,0,0,372,172,0,0,6554,131,0,789,0,322,831
BZN|GB,14.04.2018 09:00 - 14.04.2018 09:30 (CET),1437,0,0,16662,1520,0,0,0,0,316,211,0,0,6554,129,0,1249,0,300,905
BZN|GB,14.04.2018 09:30 - 14.04.2018 10:00 (CET),1438,0,0,17862,1231,0,0,0,0,421,233,0,0,6545,130,0,1920,0,285,861
BZN|GB,14.04.2018 10:00 - 14.04.2018 10:30 (CET),1432,0,0,18597,1249,0,0,0,0,384,465,0,0,6562,130,0,2640,0,193,849
BZN|GB,14.04.2018 10:30 - 14.04.2018 11:00 (CET),1449,0,0,18077,1462,0,0,0,0,629,484,0,0,6566,131,0,3380,0,221,903
